<<<<<<< HEAD
KNOT_ID,ATA,TITLE,DESCRIPTION,TT_BUDGET,STATUS
KNOT-ATA28-10-00-001,ATA28,"LH₂ reservoir conformal vs cylindrical","Trade study on reservoir geometry for BWB vs WTW variants",200,OPEN
KNOT-ATA28-20-00-001,ATA28,"NH₃ distribution double-containment","Double-wall containment architecture for toxic PM species",200,OPEN
=======
KNOT_ID,Title,Residual,Target,Pool_TT,Close_Date,Status
KNOT-ATA28-10-00-001,LH2 Tank Structural Sizing,100,10,120,2026-09-30,OPEN
KNOT-ATA28-20-00-001,NH3 Cryo-Shield Boil-Off Reduction,100,10,150,2026-12-31,OPEN
KNOT-ATA28-40-00-001,NH3 Cracker Conversion Efficiency,100,15,200,2027-03-31,OPEN
KNOT-ATA47-10-00-001,Cracker N2 Purity / Contaminants,100,10,100,2027-03-31,OPEN
KNOT-ATA47-20-00-001,Tank Inerting O2 Control,100,8,130,2027-06-30,OPEN
KNOT-ATA47-30-00-001,Leak Sniff Protocol Sensitivity,100,10,110,2027-06-30,OPEN
KNOT-ATA47-40-00-001,Active N2 Suppression 3s,100,5,180,2027-09-30,OPEN
KNOT-ATA28-70-00-001,H2 Embrittlement Monitoring,100,12,90,2027-06-30,OPEN
KNOT-ATA75-20-00-001,Waste Heat Routing to Cracker,100,15,100,2026-12-31,OPEN
KNOT-ATA04-00-00-001,ALIs for Cryo Systems,100,10,80,2027-09-30,OPEN
KNOT-ATA53-10-00-001,Fuselage Diameter Trade (3.5 m vs 3.76 m),100,15,100,2026-09-30,OPEN
KNOT-ATA32-10-00-001,Landing Gear Yehudi Interference / Relocation Mass,100,15,90,2026-12-31,OPEN
KNOT-ATA55-10-00-001,CG Envelope T-tail vs Canard for Aft-Tank Management,100,15,110,2026-12-31,OPEN
KNOT-ATA25-50-00-001,NH3 Containment Zone Crashworthiness,100,12,100,2027-06-30,OPEN
>>>>>>> origin/main
